Data: bioavailability.csv
Input data size: (359, 242)
Ground complexity: 151876620329.0
Ground complexity on training data: 108871574822.0
Run GP with parameters:  {'const_range': (-1.0, 1.0), 'first_tournament': 'fitness', 'function_set': ('add', 'sub', 'mul', 'div'), 'generations': 500, 'init_depth': (2, 6), 'init_method': 'half and half', 'max_samples': 1.0, 'metric': 'mean absolute error', 'n_jobs': 2, 'p_crossover': 0.7, 'p_hoist_mutation': 0.05, 'p_point_mutation': 0.1, 'p_point_replace': 0.05, 'p_subtree_mutation': 0.1, 'parsimony_coefficient': 0.001, 'population_size': 200, 'random_state': 42, 'safe_best_program_to_file': (True,), 'second_tournament': 'complexity', 'second_tournament_size': 1.4, 'stopping_criteria': 0.01, 'tournament_size': 10, 'verbose': 1, 'warm_start': False}
    |    Population Average   |                                            Best Individual                                              |
---- ------------------------- --------------------------------------------------------------------------------------------------------- ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness       Complexity                                       Program  Time Left
  53    167.4    113.439473242      153    23.9957288535              N/A   0.747151991895                 str too long - check pdf-file    186.93m
  54   167.01    341.076827862      153    23.9957288535              N/A   0.747151991895                 str too long - check pdf-file    186.64m
  55   163.14    160.983951592      335    23.9929984792              N/A   0.859946355048                 str too long - check pdf-file    186.52m
  56   164.53    61.8309779768      161     23.959585888              N/A   0.862005166402                 str too long - check pdf-file    186.56m
  57   158.78    58.0760762276      161     23.959585888              N/A   0.862005166402                 str too long - check pdf-file    185.81m
  58   156.01    122.459278115      191    23.9357589683              N/A   0.804975538618                 str too long - check pdf-file    185.19m
  59   153.45    443.029830144      195    23.9333591786              N/A   0.804052967899                 str too long - check pdf-file    185.30m
  60   157.57    216.570556362      169    23.8906380443              N/A   0.899530080518                 str too long - check pdf-file    185.32m
  61   160.91    55.2767211857      165    23.8808687629              N/A    0.87070956183                 str too long - check pdf-file    185.27m
  62   164.66    40.2737271561      185     23.845140799              N/A    1.04021141581                 str too long - check pdf-file    185.23m
  63   167.03    34.0376557445      161    23.7622195834              N/A   0.739052280329                 str too long - check pdf-file    185.07m
  64   168.87    105.982234698      161    23.7542514559              N/A   0.729022994219                 str too long - check pdf-file    184.86m
  65   171.14    1060.78691077      165    23.7542514559              N/A   0.729022994219                 str too long - check pdf-file    184.51m
  66   181.94    46.0661115355      165    23.7622195834              N/A   0.739052280329                 str too long - check pdf-file    184.21m
  67   187.72    108.630221948      155    23.7480416382              N/A   0.780870147208                 str too long - check pdf-file    183.68m
  68   180.95    236.751002663      181    23.6490147645              N/A   0.926559976721                 str too long - check pdf-file    182.94m
  69   178.83    111.837380141      181    23.6118824211              N/A   0.925059205952                 str too long - check pdf-file    182.29m
  70   184.77    37.9767774622      229    23.6275973094              N/A    1.18792218702                 str too long - check pdf-file    181.93m
  71   176.11    77.2382159306      235    23.6275973094              N/A    1.18792218702                 str too long - check pdf-file    181.83m
  72   187.37    48.0870497548      309    23.5602560992              N/A    1.25779771156                 str too long - check pdf-file    181.40m
  73   183.46     43.538704595      313    23.5654754798              N/A     1.3040141248                 str too long - check pdf-file    181.47m
  74   191.18    45.4317825671      313    23.5654754798              N/A     1.3040141248                 str too long - check pdf-file    181.12m
  75   184.36    116.276399189      185    23.6067924241              N/A   0.926104503346                 str too long - check pdf-file    180.92m
  76   177.15    79.5397058554      171    23.6027045333              N/A   0.894498491132                 str too long - check pdf-file    180.60m
  77   176.03    68.8138792643      211    23.5749506255              N/A   0.927634766196                 str too long - check pdf-file    179.98m
  78   176.31    47.1375347598      229     23.569661982              N/A    1.00442473902                 str too long - check pdf-file    179.81m
  79   181.02    54.3373554286      175    23.5841073599              N/A   0.965162842002                 str too long - check pdf-file    179.70m
  80   186.61    32.6442996645      227     23.555998707              N/A     1.0286445469                 str too long - check pdf-file    179.35m
  81   178.98    40.2323507154      221    23.5206174323              N/A   0.976787315381                 str too long - check pdf-file    178.75m
  82   185.59    79.0264819213      223    23.5206174323              N/A   0.976787315381                 str too long - check pdf-file    178.35m
  83   179.99    212.352557383      185    23.5009382588              N/A   0.945569534105                 str too long - check pdf-file    177.84m
